,Day,Month,Unnamed: 0,Name,Date,Content,year
4217,12,9,5063,l3184l,2019年09月12日 13:00  来自 iPhone,工作後太疲倦 躺 辦公室椅子上卷著睡覺太吵 有放音樂說話 唱歌 打電話 腳步聲空調往上面吹著於 毛線裙圈 腰上混毛絨毯蓋 腳上燥熱得 行體力上無法承受 勞累讓腳酸得提 起起來後做 椅子上發呆思考著如何才能逃離這破地方順便提字一句非常討厭毛線和高跟鞋,2019
4218,12,9,5064,林带鱼Luglio,2019年09月12日 12:54  来自 iPhone客户端,老师每次  们午睡时把空调开到 度 每次  会睡到一半去调空调然后  她感冒 .阿哈活该哈口区,2019
4219,12,9,5065,两碗芋圆呀,2019年09月12日 12:49  来自 iPhone客户端,坐   吃 两个冰淇淋后冷 直发抖（裹 被子吹空调）,2019
4220,12,9,5066,漫客读书,2019年09月12日 12:41  来自 微博 weibo.com,空调坏 ， 们好像 狗带,2019
4221,12,9,5067,焦绿猫猫-,2019年09月12日 12:40  来自 iPhone客户端,值 真 好累 热炸  又好赶 热死想吃冰淇淋  像上次冰棒 行  哇哦 刚回到 有空调～ 哈爽,2019
4222,12,9,5068,洪阿宝要爆炸了,2019年09月12日 12:09  来自 小米9,滨湖临滨苑写字楼抠  行，这个天气已经断空调 坐   流汗 合肥·滨湖CBD写字楼,2019
4223,12,9,5069,乐乐丫成长记,2019年09月12日 12:07  来自 iPhone客户端,送乐乐上学前， 门口换鞋 时候，   天好热  乐乐用大人 口气  “ 可以  吹空调，  还 上体育课，一天  外面 ”大哥，  体育课只有一节好吗，哪有一整天   早上  回味他  这句话，觉得  没错，但 又感觉哪 有点 对劲，他才小学一 级,2019
4224,12,9,5070,木木南南木南木南,2019年09月12日 11:19  来自 iPhone客户端,早上出门低估 这场秋雨直接电梯下到地库 觉得温度刚好到 学校才发现坐   真 冷 好想让空调出热风,2019
4225,12,9,5071,Fonnie是个小太阳,2019年09月12日 09:49  来自 爱小太阳的iPhone XS(深空灰),昨天小来家 提前过中秋之前约 时候   跟  希望他能把小电扇顺便给 带来   头顶上 空调坏  太热 小昨天看见 时候  小电扇给 带来 哦 本来 已经出门  一想到电扇忘 拿  赶紧跑回去拿 开会 差点迟到啦小 很怕麻烦 人 如果 他自己 东西 他 已经,2019
4226,12,9,5072,曾子MIN,2019年09月12日 09:46  来自 手机淘宝,法兰绒毛毯单层纯色压条魔法绒冬季盖腿单人空调毯子 午睡毯. O 链接,2019
4227,12,9,5074,严禁模仿,2019年09月12日 09:33  来自 vivo X27 4800万三摄,没有空调  呆  礼拜，每天 被热醒,2019
4228,12,9,5076,Melody_1031,2019年09月12日 09:13  来自 iPhone客户端,草 这种天气 没有风扇  还关门窗户只开一小条缝隙   开空调 简直和蒸笼没两样 神经病真 神经病噢 自私  死 自己怕冷 会穿外套  简直闷死   噢 对  还抽烟 室内禁止吸烟 墙贴对来 真 透明 存,2019
4229,12,9,5077,小辫子-kitty,2019年09月12日 09:04  来自 iPhone 8 Plus,🇺🇸包邮～初秋必备扮靓单品😍tommy 针织纯棉开衫可以备起来啦 夏天空调 备一件，车子放一件必备单品，天一凉初秋开衫太实用 ，图二藏蓝色,2019
4230,12,9,5078,銀河槿花,2019年09月12日 09:03  来自 微博轻享版,身体实际强壮程度和预想相差甚远昨天吹 一天空调（   这时候 还开空调甚至卫生间空调比 还冷）下班路上又吹 点风   感冒啦🤧,2019
4231,12,9,5079,诗仙爱木兰,2019年09月12日 08:52  来自 微博轻享版,一师妹因为宿舍空调 事跟别人一直  ，还好跟 没关系，再  用听这些女人之间 唧唧歪歪,2019
4232,12,9,5080,凌灵之夏,2019年09月12日 08:51  来自 iPhone客户端,为什么坐 准备室？首先干活间隙歇会；其次 虽开 空调，内外无温差，这吹 风扇多好 话 同事A已经加入   吐槽行列，哈， 她恨 得吹热空调，又 怕冷还穿短裙跟 想法 谋而合，因为 们 被荼毒 群体，人家 纪大 们 让让吧,2019
4233,12,9,5081,佩佩可233,2019年09月12日 08:43  来自 iPhone客户端,大姐上班迟到  分钟  还一到  把空调关   飞起,2019
4234,12,9,5082,晃晃很容易,2019年09月12日 08:36  来自 Samsung Galaxy S8,好惨 ， 空调坏 ，闷热难当，准备跑去服务器机房摸鱼，推门一看主任正坐  面划手机,2019
4235,12,9,5083,乖小妈咪,2019年09月12日 08:22  来自 华为P9手机摄影再突破,家 孩子，后面两张  中途带回家，可能家 太热  赶紧带回 叹空调，图六 知道能 能缓过来,2019
4236,12,9,5084,童baby-1600632336,2019年09月12日 08:08  来自 vivo AI智慧拍照X21,🔅    保湿受到 空调吹拂下，有些宝宝下午时候下巴 鼻翼两侧与双颊因为缺水而干燥脱皮，原先完美无瑕 底妆 开始与脸庞分离,2019
4237,12,9,5085,parker洁,2019年09月12日 07:38  来自 iPhone 8 Plus,每次进   想到一句话“开最大 门窗，调最低 空调”,2019
4238,12,9,5086,鲸落---,2019年09月12日 07:20  来自 HUAWEI Mate 20 Pro,拐  这个记性   老 痴呆提前 普法考试没考 空调没关花没带回去  张家界,2019
