,Topic,Count,Name,Representation,Representative_Docs
36,35,43,35_厕所_卫生间_厕所空气_连厕所,"['厕所', '卫生间', '厕所空气', '连厕所', '清新', '空气比', '空气', '窒息', '所以估计', '溜出来']","['厕所多 两盆绿萝🪴一开始 以为 物业放 这净化空气 可 它被浇 太多水，一些分枝已经烂掉 发出 臭味，所以估计 谁嫌臭放弃养 吧 没想到上厕所还 双重打击 忍 巨臭把它底下 水倒  烂叶拔掉 烂根拔掉 放  太阳下虽然 手臭  但希望 能活等 活  再救另一盆', '厕所 空气 比 清新，真 会谢  空间挤满上百人，整天整夜 开窗（窗户只能打开一点）还刚装修好，还开 足足 暖空调，第一次想 厕所 胜于 ，', '厕所 空气 比 清新']"
37,36,42,36_受强冷空气影响_预计_毫米_受冷空气影响,"['受强冷空气影响', '预计', '毫米', '受冷空气影响', '夜间至', '紧急通知', '左右', '局地', '雨雪', '阵风']","['巨鹿县气象灾害防御指挥部 关于做好大风降温沙尘等灾害防御工作 紧急通知 受冷空气影响，预计 夜间 县有偏北风 ～ 级，阵风 ～ 级并伴有沙尘天气，明天白天最高温度下降 ～ ℃  求各乡镇政府 经济开发区进一步加强应急值守，确保一旦出现灾情，及时有效处置，做好灾害防御工作', ""巨鹿县气象灾害防御指挥部 关于做好大风降温沙尘等灾害防御工作 紧急通知 受冷空气影响，预计 夜间 县有偏北风 ～ 级，阵风 ～ 级并伴有沙尘天气，明天白天最高温度下降 ～ ℃'"", '郑州市人民政府低温雨雪冰冻应急灾害指挥部  市应急管理局提醒广大市民 据气象部门预测，受强冷空气影响， 市将有一次寒潮 雨雪 大风天气过程   至  ，气温降幅达 ～ ℃；请您注意防寒保暖，做好防范']"
38,37,42,37_个县_steel_上栗县召开大气污染防治工作调度会_从第,"['个县', 'steel', '上栗县召开大气污染防治工作调度会', '从第', '组织召开', 'je', '县十九届人民政府召开第', '次常务会议', 'energy', 'consultant']","['，省生态环境保护委员会 召开约谈会，对环境空气质量连续 个 排名省辖市后 名 洛阳市 驻马店市政府和连续 个 排名县（市 区）后 名 洛阳瀍河区 洛龙区，平顶山高新区，安阳林州市，焦作沁阳市 解放区，许昌襄城县，漯河舞阳县，驻马店开发区 高新区等 个县（市 区）政府（管委', '\ue627职场 \ue627公益  JA中国｜上海 北京全职岗位招聘OJA中国｜上海 北京全职岗位招聘NRDC招聘｜Part-Time Steel Consultant  Climate and Energy  je tONRDC招聘｜Part-Time Steel Consultant  Climate and Energy  je t智慧货运中心全职招聘｜项目经理（零排放货车） 物流碳核算技术经理O智慧货运中心全职招聘｜项目经理（零排放货车） 物流碳核算技术经理坐标广州，一公斤盒子', '，省大气污染防治联席会议 发出通报 根据国家下达   度大气污染防治考核指标，南京 泰州 无锡 淮安和常州空气质量改善序时进度“ 合格”， 求当地高度重视，采取果断措施，确保实现 度目标 O江苏 市治气 达时序进度遭通报 国家 求加码形势 容乐观江苏 市治气 达时序进度遭通报 国家 求加码形势 容乐观']"
39,38,40,38_空调_好热_这么热_开空调,"['空调', '好热', '这么热', '开空调', '桶包外面', '摸到窗户', '放工资', '撅过去', '有冷空气还真', '生活还水深火热']","['假期 放工资 涨空调 开然后 老师搞 个电风扇，但 吹 到但空气 流动还好， 怎么热，这风扇一开，热空气 被吹开 ，冷空气感觉 到，热空气一阵一阵 往 这顾涌', '有 好习惯比如上班 到下楼开车，过程中肯定会接触热空气，  会立马打开车上 冷气，会给自己适应 时间但 老公孩子 这样 情况  “热亖 ，快打开冷气”盛暑到 ，太热还 可以立马开空调 别中暑 祝大家冰冰凉凉一夏', '时常怀疑 跟 其他男同事对于温度和空气流通性 感知   真 有很大区别   理解 ，外面温度 ℃且空气清新没有任何异味 情况下 们  房间 跟五台运行  电脑共处一室又 开空调，那么为什么  开窗通风呢 没有人觉得空气 流通很闷热吗？还  们感觉这个']"
40,39,39,39_空气有毒_疯狂咳嗽_嗓子_开始咳,"['空气有毒', '疯狂咳嗽', '嗓子', '开始咳', '一到', '咳嗽', '有毒', '空气真', '想起之前', '感冒咳嗽感觉空气']","['真 奇怪，自从搬  因为空气质量问题，嗓子疼，应该 呼吸道脆弱被甲醛伤到 ，于 天天晚上咳嗽睡  觉 这么多天 吃辣昨天晚上太馋吃 几包小王子，结果确没有咳嗽 ，感觉嗓子 好 一些 🤣这 什么奇怪体质', '〖Week. 〗 ️⃣嗓子隐隐作痛两天，晚上吸点冷空气 疯狂咳嗽，但测 抗原又没有任何情况，猛吞两天消炎药可算 慢慢好  ️⃣失去婷婷子感到些许失落☹️崔姐学起来认真但懵懵 ，没事 能干，只 没交钱 能救回来，交钱 大  麻烦朋子哥点一点🙏🏻 ️⃣和王', '感冒两周咳嗽一周  吃消炎药化痰止咳各种药   好用 嗓子  定那口空气 对 开始咳 停 下来  已经待 住  自己每天跑没人 会议室  儿子昨天 学校吃水果 时候听同学 带 金桔可以止咳  用自己 水果跟人家交换  带回家给 吃  妈妈吃 金桔 好  好感动']"
41,40,38,40_春节将至_颗粒物和硫化物会使空气质量急剧恶化_燃放烟花爆竹_通知,"['春节将至', '颗粒物和硫化物会使空气质量急剧恶化', '燃放烟花爆竹', '通知', '禁止', '起至', '疏堵结合', '做到人离气关', '点放孔明灯', '烟花爆竹虽然可以增添一定']","['亲爱 市民朋友们 春节将至，辞旧迎新，烟花爆竹虽然可以增添一定 节 氛围，但燃放烟花爆竹所释放 颗粒物和硫化物会使空气质量急剧恶化，影响市民身体健康，影响公共环境卫生，更易酿成人身伤亡火灾事故和财产损失 为深入推进“保卫蓝天 美化环境”，请广大市民立即行动起来，从  做起，从现', '广东省森林防灭火指挥部  省应急管理厅 省住房和城乡建设厅提醒您 五一假期，禁止携带火种及易燃易爆物品进入森林防火区，禁止 林区焚香烧纸 燃放烟花爆竹及吸烟 野炊和烧烤等；使用燃气时需保持空气流通，用气后关闭燃具及炉前阀门，外出勿忘关闭表前阀或气瓶阀，做到人离气关 劳动光荣', '广东省森林防灭火指挥部  省应急管理厅 省住房和城乡建设厅提醒您 五一假期，禁止携带火种及易燃易爆物品进入森林防火区，禁止 林区焚香烧纸 燃放烟花爆竹及吸烟 野炊和烧烤等；使用燃气时需保持空气流通，用气后关闭燃具及炉前阀门，外出勿忘关闭表前阀或气瓶阀，做到人离气关 劳动光荣，']"
42,41,33,41_嗑瓜子_小猫_寿命_市场,"['嗑瓜子', '小猫', '寿命', '市场', '经验', '味道', '以为', '求改价', '柜姐那款香这个车主几个意思', '村民们看到后可以与小猫']","['来到 ，打扫完卫生，坐  桌前，突然发现放 桌上 台历居然剩下最后一页 ，而且还 狗 寿命 感叹时光飞逝，难道狗狗 寿命 这么终结 ？回想这一 ，感慨颇多 远离故乡，驻守边疆 认识 许多朋友，品到 纯正 普洱茶 工作还算顺利，厨艺大有长进 呼吸', '一则记录 下午 大哥喊 去家 吃螃蟹，过去后告诉 有只螃蟹挣脱枷锁跑出来 ，让 重新绑一下，于  虎头虎脑伸手 去捉，由于没有绑螃蟹 经验，只有吃 经验， 很果断地上下抓，这个时候大钳子 咔嚓一下飞过来 ，被 吃之前它 狠狠吃  一口  呜～手指头差点 掉下来，此仇 报非胖汪', '周 朋友聚会， 通州八 桥市场水产大厅 号买 海鲜，回到家发现螃蟹 换成死  ，愤怒至极，返回理论， 市场 ，商贩嚣张狂妄，声称 卖   死螃蟹，找谁 没用，市场管理员站 一旁如同空气一般，   敢再 ，找个理由逃出市场，死螃蟹丢 市场 没敢拿回来，哎，胆小 千万  去，']"
43,42,32,42_副总_茶百道云绒轻茶_政和白毫银针_凤凰单丛乌龙茶,"['副总', '茶百道云绒轻茶', '政和白毫银针', '凤凰单丛乌龙茶', '喝点吧', '香樟木', '支持他', '茶杯', '如果', '喝茶']","['想起之前副总找 谈话 把 叫进  “喝水”   “ 喝”副总 “那 喝茶？”  “ 喝”副总 “喝点吧”  “行”副总泡茶 手一愣 “到   没有 喝茶 ”  “那  这么     喝 呗”副总 “喝点吧 绿茶行吗？”  “那 还  喝 ”副总 “别 好意思”', '花几分钟，让您 解小青柑  同寻常之处 小青柑果皮本身具有良好 药用价值，挖去果肉，填上普洱茶以后， 做成 一种独特 柑普茶  仅 口感滋味上有变化，更 提高 营养价值 使得茶中融合 柑果 果香味，清甜回甘，细腻滑爽，清新可人   理气健胃，祛痰润喉小青柑，果小 皮青 柑质', '茶席上 风水，怎样才能“活”起来？筑梦茶乡 福地湄潭 湄江印象 只为一杯好茶喝茶人 雅趣与情趣，大到茶 器 境相融相构 空间配置，小到方寸之间 茶则 盖置，一点一滴 有讲究 中国人讲茶席，自然 离 开风水 普遍上讲，风水养人，人 养风水 风水风水，讲究风， 讲究水 茶席之上，']"
44,43,32,43_病毒_传染力_新冠病毒_戴口罩,"['病毒', '传染力', '新冠病毒', '戴口罩', '空气中', '秒内失去', '肠道', '分钟内失去', '飘散', '存活']","['新研究 新冠病毒 空气中 分钟内失去 %传染力 根据 研究 新冠病毒 空气中 分钟内失去 %传染力 英格兰布 斯托大学研究员使用特殊设备测试新冠病毒 各种温度 湿度和光照条件下，能以悬浮微粒存活多长时间 此研究，为全球首次模拟病毒 被带原者呼出到空气后 存活结果  低', '湿身危险 ⚠️新冠“偏宠”潮湿环境， 分钟后仍有传染力 游泳爱好者emo  英国研究人员发现，新冠病毒 潮湿 环境中更容易繁殖 当干燥 环境会大幅度降低它们 感染力 例如， 湿度只有 %  中，病毒会  秒内失去 % 传染力，但 桑拿房 湿度高达 % 浴室中， 分钟后， % 病毒', '根据一份 研究，新冠病毒 空气中 分钟内 能彻底失去  % 传染力， 分钟内失去大部分传染力； 低于 % 湿度下，类似 中 空气，病毒 空气传播后 秒内失去 一半 传染力 O纽约放弃  已经停止追踪确诊者，  会再致电  大家各自安好']"
45,44,32,44_雨后_下雨_喜欢下雨天_捂脸,"['雨后', '下雨', '喜欢下雨天', '捂脸', '空气真好', '出来', '突然', '窗外', '把雨伞但出', '看到朋友']","['去 这个时候  国内，回来发现雨季其实  算来 今 感觉这 气候反常，天气热 很多，而且雨季持续 好久  下  上午 雨， 过去  子 好像下雨只会一两个小时 停，这种下 五六个小时  子还真 罕见 一下完雨，莫名其妙 虫子 出来 ，长 翅膀，趋光，但 好像死  快，  塞拉', '好像下 一次很大 雨，但   地下  对账一点儿没有感受到雨下  否激烈，只 差异被一点点对出来 时候 觉得这几天每个 这几天绷  弦慢慢舒缓，等到走出 区，只觉得空气 自由 小雨滴洒落   身上似乎很欢悦，又去逛 很久前 应该去 超市，顺便吃 个晚晚饭，对哦，莲花，好', '保定这座城市， 确需 一场雨来滋润 上午看朋友圈，看到朋友 自己  已经成为桑拿房，多想来一场雨  一场烟雨 保定，众望所归，万众期盼 终于， 中午 十分迎来 一场雷阵雨 虽然雨 大，但 却异常 让人欢喜，空气中终于有 些湿润 气息， 多 一些雨后 凉风吹来 下午 天气， 让']"
